easting,northing,yaw,state_x,state_y,state_yaw
310217.85517,2768165.66648,-0.0409543535631,310217.855691,2768165.66646,-0.0409543535631
310217.85517,2768165.66648,-0.0409543535631,310217.85562,2768165.66646,-0.0409543535631
310217.85517,2768165.66648,-0.0409543535631,310217.85605,2768165.66645,-0.0409543535631
310217.85517,2768165.66648,-0.0409543535631,310217.855922,2768165.66645,-0.0409543535631
310217.85517,2768165.66648,-0.0409543535631,310217.855812,2768165.66646,-0.0409543535631
310217.85517,2768165.66648,-0.0409543535631,310217.856273,2768165.66644,-0.0409543535631
310217.85517,2768165.66648,-0.0409543535631,310217.856112,2768165.66644,-0.0409543535631
310217.85517,2768165.66648,-0.0409530386822,310217.855973,2768165.66645,-0.0409539223853
310217.85517,2768165.66648,-0.0409530386822,310217.856353,2768165.66643,-0.0409536326
310217.85517,2768165.66648,-0.0409530386822,310217.856181,2768165.66644,-0.0409534378415
310217.85517,2768165.66648,-0.0409543535631,310217.856032,2768165.66645,-0.0409537381264
310217.85517,2768165.66648,-0.0409543535631,310217.856402,2768165.66643,-0.0409539399414
310217.85517,2768165.66648,-0.0409543535631,310217.856225,2768165.66644,-0.0409540755768
310217.85517,2768165.66648,-0.0409543535631,310217.85607,2768165.66644,-0.0409541667345
310217.85517,2768165.66648,-0.0409543535631,310217.856449,2768165.66643,-0.0409542279997
310217.85517,2768165.66648,-0.0409543535631,310217.856259,2768165.66644,-0.0409542691746
310217.85517,2768165.66648,-0.0409543535631,310217.856098,2768165.66644,-0.0409542968474
310217.85517,2768165.66648,-0.0409543535631,310217.856466,2768165.66643,-0.0409543154457
310217.85517,2768165.66648,-0.0409543535631,310217.856276,2768165.66644,-0.0409543279452
310217.85517,2768165.66648,-0.0409543535631,310217.856113,2768165.66644,-0.0409543363459
310217.85517,2768165.66648,-0.0409543535631,310217.856479,2768165.66643,-0.0409543419918
310217.85517,2768165.66648,-0.0409543535631,310217.85629,2768165.66644,-0.0409543457863
310217.85517,2768165.66648,-0.0409543535631,310217.856133,2768165.66644,-0.0409543483365
310217.85517,2768165.66648,-0.0409543535631,310217.856485,2768165.66643,-0.0409543500504
310217.85517,2768165.66648,-0.0409543535631,310217.856291,2768165.66644,-0.0409543512023
310217.85517,2768165.66648,-0.0409543535631,310217.856126,2768165.66644,-0.0409543519765
310217.825044,2768165.67798,-0.0409543535631,310217.851557,2768165.6682,-0.0409543522958
310217.825044,2768165.67798,-0.0409543535631,310217.847525,2768165.6697,-0.0409543525963
310217.825044,2768165.67798,-0.0409543535631,310217.844089,2768165.67097,-0.0409543528529
310217.825044,2768165.67798,-0.0409543535631,310217.841176,2768165.67204,-0.0409543530537
310217.825044,2768165.67798,-0.0409543535631,310217.838708,2768165.67295,-0.0409543532033
310217.825044,2768165.67798,-0.0409543535631,310217.836619,2768165.67372,-0.0409543533111
310217.825044,2768165.67798,-0.0409543535631,310217.834909,2768165.67437,-0.0409543533738
310217.825044,2768165.67798,-0.0409543535631,310217.833597,2768165.67492,-0.0409543533869
310217.825044,2768165.67798,-0.0409543535631,310217.832324,2768165.67539,-0.0409543534147
310217.825044,2768165.67798,-0.0409543535631,310217.831215,2768165.67578,-0.040954353448
310217.825044,2768165.67798,-0.0409543535631,310217.830795,2768165.6761,-0.0409543534157
310217.825044,2768165.67798,-0.0409543535631,310217.829959,2768165.67639,-0.0409543534257
310217.825044,2768165.67798,-0.0409543535631,310217.829214,2768165.67663,-0.0409543534515
310217.825044,2768165.67798,-0.0409543535631,310217.829123,2768165.67681,-0.0409543534393
310217.825044,2768165.67798,-0.0409543535631,310217.82851,2768165.67699,-0.0409543534556
310217.825044,2768165.67798,-0.0409543535631,310217.827986,2768165.67714,-0.0409543534788
310217.825044,2768165.67798,-0.0409543535631,310217.828093,2768165.67725,-0.0409543534762
310217.825044,2768165.67798,-0.0409543535631,310217.827636,2768165.67736,-0.0409543534897
310217.825044,2768165.67798,-0.0409543535631,310217.827245,2768165.67745,-0.0409543535064
310217.825044,2768165.67798,-0.0409543535631,310217.827464,2768165.67751,-0.0409543535066
310217.825044,2768165.67798,-0.0409543535631,310217.827103,2768165.67758,-0.0409543535161
310217.825044,2768165.67798,-0.0409543535631,310217.826809,2768165.67764,-0.0409543535267
310217.825044,2768165.67798,-0.0409543535631,310217.827061,2768165.67767,-0.0409543535279
310217.825044,2768165.67798,-0.0409543535631,310217.82676,2768165.67772,-0.0409543535342
310217.825044,2768165.67798,-0.0409543535631,310217.826503,2768165.67776,-0.040954353541
310217.825044,2768165.67798,-0.0409543535631,310217.82687,2768165.67777,-0.0409543535412
